name	asciiname	longitude	latitude	countryCode	population
Sant Julià de Lòria	Sant Julia de Loria	1.49129	42.46372	AD	8022
Ordino	Ordino	1.53319	42.55623	AD	3066
les Escaldes	les Escaldes	1.53414	42.50729	AD	15853
la Massana	la Massana	1.51483	42.54499	AD	7211
Encamp	Encamp	1.58014	42.53474	AD	11223
Canillo	Canillo	1.59756	42.5676	AD	3292
Andorra la Vella	Andorra la Vella	1.52109	42.50779	AD	20430
Umm al Qaywayn	Umm al Qaywayn	55.55517	25.56473	AE	44411
Ras al-Khaimah	Ras al-Khaimah	55.9432	25.78953	AE	115949
Muzayri‘	Muzayri`	53.7881	23.14355	AE	10000
Khawr Fakkān	Khawr Fakkan	56.34199	25.33132	AE	33575
Dubai	Dubai	55.17128	25.0657	AE	1137347
Dibba Al-Fujairah	Dibba Al-Fujairah	56.26176	25.59246	AE	30000
Dibba Al-Hisn	Dibba Al-Hisn	56.27291	25.61955	AE	26395
Sharjah	Sharjah	55.41206	25.33737	AE	543733
Ar Ruways	Ar Ruways	52.73056	24.11028	AE	16000
Al Fujayrah	Al Fujayrah	56.34141	25.11641	AE	62415
Al Ain	Al Ain	55.76056	24.19167	AE	408733
Ajman	Ajman	55.43504	25.41111	AE	226172
Adh Dhayd	Adh Dhayd	55.88157	25.28812	AE	24716
Abu Dhabi	Abu Dhabi	54.36667	24.46667	AE	603492
Kuhsān	Kuhsan	61.19778	34.65389	AF	12087
Tukzār	Tukzar	66.42132	35.94831	AF	12021
Zindah Jān	Zindah Jan	61.74675	34.34264	AF	10104
Zarghūn Shahr	Zarghun Shahr	68.44573	32.84734	AF	13737
Zaṟah Sharan	Zarah Sharan	68.79213	33.14641	AF	7366
Zaranj	Zaranj	61.86037	30.95962	AF	49851
Yangī Qal‘ah	Yangi Qal`ah	69.61131	37.46572	AF	6541
Tīr Pul	Tir Pul	61.26895	34.59431	AF	6979
Tarinkot	Tarinkot	65.87806	32.62998	AF	10000
Taloqan	Taloqan	69.53451	36.73605	AF	64256
Tagāw-Bāy	Tagaw-Bay	66.06164	35.69941	AF	9096
Tagāb	Tagab	69.64917	34.85501	AF	6400
Shīnḏanḏ	Shindand	62.1474	33.30294	AF	29264
Shibirghān	Shibirghan	65.7529	36.66757	AF	55641
Shahrak	Shahrak	64.3052	34.10737	AF	15967
Sidqābād	Sidqabad	69.35112	35.02298	AF	7407
Sar-e Pul	Sar-e Pul	65.93249	36.21544	AF	52121
Sangīn	Sangin	64.8359	32.07275	AF	13579
Sang-e Chārak	Sang-e Charak	66.43694	35.84972	AF	15377
Aībak	Aibak	68.01551	36.26468	AF	47823
Rūdbār	Rudbar	62.6	30.15	AF	11034
Rustāq	Rustaq	69.83045	37.12604	AF	25636
Qarqīn	Qarqin	66.04358	37.41853	AF	15018
Qarchī Gak	Qarchi Gak	66.78891	37.03999	AF	8942
Qarāwul	Qarawul	68.7802	37.21959	AF	24544
Qarah Bāgh	Qarah Bagh	61.77589	34.94023	AF	12412
Qala i Naw	Qala i Naw	63.12891	34.98735	AF	9000
Qal‘ah-ye Shahr	Qal`ah-ye Shahr	65.5676	35.54729	AF	7756
Qalāt	Qalat	66.90833	32.10575	AF	12191
Pārūn	Parun	70.92261	35.42064	AF	1000
Pul-e Khumrī	Pul-e Khumri	68.71512	35.94458	AF	56369
Pul-e ‘Alam	Pul-e `Alam	69.02274	33.99529	AF	13247
Panjāb	Panjab	67.02327	34.38795	AF	13471
Paghmān	Paghman	68.95091	34.58787	AF	49157
Uruzgān	Uruzgan	66.63253	32.92775	AF	13388
Nīlī	Nili	66.13023	33.72178	AF	0
Nahrīn	Nahrin	69.13343	36.0649	AF	22363
Mīr Bachah Kōṯ	Mir Bachah Kot	69.11899	34.74999	AF	5405
Mīrābād	Mirabad	61.8383	30.43624	AF	14160
Maymana	Maymana	64.78361	35.92139	AF	75900
Mehtar Lām	Mehtar Lam	70.20944	34.67139	AF	17345
Mazār-e Sharīf	Mazar-e Sharif	67.11087	36.70904	AF	303282
Lashkar Gāh	Lashkar Gah	64.37161	31.59382	AF	43934
Larkird	Larkird	66.66409	35.48936	AF	11635
Kushk	Kushk	61.95221	33.29565	AF	16952
Kunduz	Kunduz	68.857	36.72895	AF	161902
Khōst	Khost	69.92041	33.33951	AF	96123
Khulm	Khulm	67.69826	36.69736	AF	64933
Khāsh	Khash	62.79055	31.52919	AF	15133
Khandūd	Khandud	72.318	36.95127	AF	5521
Khanabad	Khanabad	69.11556	36.6825	AF	71531
Karukh	Karukh	62.5863	34.48108	AF	17484
Kandahār	Kandahar	65.71013	31.61332	AF	391190
Kabul	Kabul	69.17233	34.52813	AF	3043532
Jurm	Jurm	70.83421	36.86477	AF	12106
Jalālābād	Jalalabad	70.45153	34.42647	AF	200331
Jabal os Saraj	Jabal os Saraj	69.23778	35.11833	AF	15032
Herāt	Herat	62.19967	34.34817	AF	272806
Ghormach	Ghormach	63.78264	35.73062	AF	30000
Ghazni	Ghazni	68.42096	33.55391	AF	141000
Gereshk	Gereshk	64.57005	31.82089	AF	43588
Gardez	Gardez	69.22592	33.59744	AF	103601
Fayzabad	Fayzabad	70.58002	37.11664	AF	44421
Farkhār	Farkhar	69.85783	36.57288	AF	10480
Farah	Farah	62.11638	32.37451	AF	43561
Kafir Qala	Kafir Qala	61.06667	34.66667	AF	18086
Imām Şāḩib	Imam Sahib	68.93644	37.18897	AF	9659
Dasht-e Archī	Dasht-e Archi	69.16667	37.13333	AF	8263
Darzāb	Darzab	65.37828	35.97744	AF	9642
Markaz-e Ḩukūmat-e Darwēshān	Markaz-e Hukumat-e Darweshan	64.1934	31.13231	AF	9012
Chīras	Chiras	65.98234	35.41674	AF	12779
Charikar	Charikar	69.17139	35.01361	AF	53676
Chahār Burj	Chahar Burj	62.19165	34.24475	AF	11935
Fayrōz Kōh	Fayroz Koh	65.25093	34.51952	AF	15000
Bāsawul	Basawul	70.87218	34.24749	AF	6835
Baraki Barak	Baraki Barak	68.9492	33.96744	AF	22305
Bāmyān	Bamyan	67.82734	34.82156	AF	61863
Balkh	Balkh	66.8972	36.75635	AF	114883
Baghlān	Baghlan	68.70829	36.13068	AF	108449
Ḩukūmatī Azrah	Hukumati Azrah	69.64573	34.17355	AF	12526
Ārt Khwājah	Art Khwajah	69.47958	37.08571	AF	18623
Āsmār	Asmar	71.35809	35.03333	AF	15708
Ashkāsham	Ashkasham	71.53333	36.68333	AF	12120
Asadābād	Asadabad	71.14697	34.87311	AF	48400
Andkhōy	Andkhoy	65.12376	36.95293	AF	29208
Anār Darah	Anar Darah	61.65397	32.7587	AF	10023
‘Alāqahdārī Dīshū	`Alaqahdari Dishu	63.29802	30.43206	AF	9196
Bāzārak	Bazarak	69.51519	35.31292	AF	65000
Maydanshakhr	Maydanshakhr	68.86618	34.39561	AF	1600
Markaz-e Woluswalī-ye Āchīn	Markaz-e Woluswali-ye Achin	70.70778	34.12583	AF	15098
Sharan	Sharan	68.73045	33.17568	AF	2200
Saint John’s	Saint John's	-61.84573	17.11717	AG	24226
Piggotts	Piggotts	-61.8	17.11667	AG	1878
Parham	Parham	-61.77046	17.09682	AG	969
Falmouth	Falmouth	-61.78136	17.02741	AG	619
Codrington	Codrington	-61.83333	17.63333	AG	1325
Bolands	Bolands	-61.87466	17.06565	AG	1657
West End Village	West End Village	-63.14941	18.17191	AI	0
The Valley	The Valley	-63.05783	18.21704	AI	2035
The Quarter	The Quarter	-63.04178	18.20799	AI	0
Farrington	Farrington	-63.02238	18.215	AI	0
Stoney Ground	Stoney Ground	-63.04607	18.22026	AI	0
South Hill Village	South Hill Village	-63.08779	18.19201	AI	0
Sandy Ground Village	Sandy Ground Village	-63.08998	18.20118	AI	274
North Side	North Side	-63.04401	18.22919	AI	0
North Hill Village	North Hill Village	-63.07847	18.20542	AI	0
Island Harbour	Island Harbour	-63.0102	18.25601	AI	0
George Hill	George Hill	-63.0665	18.19939	AI	0
East End Village	East End Village	-63	18.23333	AI	0
Blowing Point Village	Blowing Point Village	-63.09375	18.17648	AI	942
Sandy Hill	Sandy Hill	-63.01329	18.22104	AI	0
Sarandë	Sarande	20.00528	39.87556	AL	15147
Tepelenë	Tepelene	20.01917	40.29583	AL	11955
Poliçan	Polican	20.09806	40.61222	AL	10663
Peshkopi	Peshkopi	20.42889	41.685	AL	14848
Përmet	Permet	20.35167	40.23361	AL	10686
Kukës	Kukes	20.42194	42.07694	AL	17832
Korçë	Korce	20.78083	40.61861	AL	58259
Gramsh	Gramsh	20.18444	40.86972	AL	11556
Gjirokastër	Gjirokaster	20.13889	40.07583	AL	23437
Ersekë	Erseke	20.67889	40.33778	AL	7890
Elbasan	Elbasan	20.08222	41.1125	AL	100903
Çorovodë	Corovode	20.22722	40.50417	AL	14046
Burrel	Burrel	20.00889	41.61028	AL	15405
Bulqizë	Bulqize	20.22194	41.49167	AL	11212
Bilisht	Bilisht	20.99	40.6275	AL	7114
Librazhd-Qendër	Librazhd-Qender	20.33556	41.19694	AL	12691
Vlorë	Vlore	19.48972	40.46667	AL	89546
Tirana	Tirana	19.81889	41.3275	AL	374801
Shkodër	Shkoder	19.51258	42.06828	AL	88245
Shijak	Shijak	19.56722	41.34556	AL	14138
Selenicë	Selenice	19.63583	40.53056	AL	6912
Rrogozhinë	Rrogozhine	19.66528	41.07639	AL	5620
Rrëshen	Rreshen	19.87556	41.7675	AL	10064
Roskovec	Roskovec	19.70222	40.7375	AL	6657
Pukë	Puke	19.89972	42.04444	AL	6495
Peqin	Peqin	19.75111	41.04611	AL	7513
Patos Fshat	Patos Fshat	19.65083	40.64278	AL	22679
Mamurras	Mamurras	19.69222	41.5775	AL	8282
Lushnjë	Lushnje	19.705	40.94194	AL	41469
Lezhë	Lezhe	19.64361	41.78361	AL	18695
Laç	Lac	19.71306	41.63556	AL	24825
Kuçovë	Kucove	19.91667	40.80028	AL	18166
Krujë	Kruje	19.79278	41.50917	AL	21286
Kavajë	Kavaje	19.55694	41.18556	AL	29354
Kamëz	Kamez	19.76028	41.38167	AL	11026
Fushë-Krujë	Fushe-Kruje	19.71778	41.47833	AL	10458
Fier-Çifçi	Fier-Cifci	19.56667	40.71667	AL	60995
Fier	Fier	19.55611	40.72389	AL	56297
Durrës	Durres	19.44139	41.32306	AL	122034
Cërrik	Cerrik	19.97583	41.03167	AL	14269
Berat	Berat	19.95222	40.70583	AL	46866
Ballsh	Ballsh	19.73472	40.59889	AL	10361
Yeghegnadzor	Yeghegnadzor	45.33239	39.76389	AM	8200
Vedi	Vedi	44.7251	39.91388	AM	12192
Vayk’	Vayk'	45.46668	39.6889	AM	5419
Kapan	Kapan	46.40576	39.20755	AM	33160
